대여일자,대여소명,대여건수합계
2019-01-01,1302. 한성대입구역6번출구 뒤,201
2019-01-01,1303. 돈암초교 입구,357
2019-01-01,1304. 만해공원,112
2019-01-01,1305. 성북구청,2
2019-01-01,1306. 한성대입구역2번출구,443
2019-01-01,1308. 안암로터리 버스정류장 앞,1610
2019-01-01,1313. 정릉교회 앞,139
2019-01-01,1314. 정릉꿈에그린1단지 201동 앞,101
2019-01-01,1315. 고려사대부속중고 정문,68
2019-01-01,1316. 고려사대부속중고 건너편,88
2019-01-01,1317. 정릉동 교통광장,22
2019-01-01,1318. 길음역 3번출구 뒤,283
2019-01-01,1319. 종암사거리 분수대,409
2019-01-01,1320. LG베스트샵 종암점,359
2019-01-01,1321. 국민은행 종암동지점 앞,545
2019-01-01,1322. 래미안라센트아파트 103동 앞,365
2019-01-01,1323. 월곡역 입구 육교 밑,242
2019-01-01,1325. 상월곡역 4번출구,238
2019-01-01,1326. 상월곡역 1번출구,204
2019-01-01,1327. 상월곡역 3번출구,221
2019-01-01,1328. 월곡역 3번출구,488
2019-01-01,1332. 석계역 5번출구 건너편,346
2019-01-01,1333. 석관초등학교 앞,253
2019-01-01,1334. 석관동주민센터 앞,156
2019-01-01,1336. 성북3교 위,439
2019-01-01,1337. 돈암성당 옆,731
2019-01-01,1338. 용문2교 옆,314
2019-01-01,1339. 삼성전자서비스 성북센터,284
2019-01-01,1340. 광운초등학교 앞,56
2019-01-01,1342. 성북쉼터 앞,138
2019-01-01,1343. 한성대7번출구 앞,245
2019-01-01,1344. 아리랑시네센터 앞,298
2019-01-01,1346. 길음8골어린이공원 옆,327
2019-01-01,1347. 길음래미안아파트817동 상가 앞,155
2019-01-01,1348. 성북제일새마을금고 본점 앞,144
2019-01-01,1349. 월계2교 버스정류장 앞,42
2019-01-01,1351. 안암2교 옆,510
2019-01-01,1352. e 편한세상 보문아파트 내,135
2019-01-01,1353. 금호어울림센터힐 내,90
2019-01-01,1354. 고려대학교 2번출구,452
2019-01-01,1355. 보문2교,472
2019-01-01,1357. 북한산보국문역,132
2019-01-01,1358. 정릉도서관 앞,185
2019-01-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,162
2019-01-01,1360. 정릉역,114
2019-01-01,1361. 홍익중고 입구,297
2019-01-01,1362. 보문역6번출구 앞,260
2019-01-01,1363. 보문4교 인근,398
2019-01-01,1364. 성북동 치안센터 앞,167
2019-01-01,1365. 선잠단지 앞,68
2019-01-01,1366. 일신초등학교 옆,41
2019-01-01,1367. 길음문화복합미디어센터,131
2019-01-01,1368. 성신여대입구 교차로,200
2019-01-01,1369. 미아사거리,196
2019-01-01,1370. 복자사랑 피정의 집,110
2019-01-01,1372. KEB은행 고대점,611
2019-01-01,1373. 성북구보건소 건너편,216
2019-01-01,1375. 생명의 전화 종합복지관 앞 교차로,199
2019-02-01,1302. 한성대입구역6번출구 뒤,185
2019-02-01,1303. 돈암초교 입구,328
2019-02-01,1304. 만해공원,89
2019-02-01,1305. 성북구청,179
2019-02-01,1306. 한성대입구역2번출구,488
2019-02-01,1308. 안암로터리 버스정류장 앞,1382
2019-02-01,1313. 정릉교회 앞,122
2019-02-01,1314. 정릉꿈에그린1단지 201동 앞,82
2019-02-01,1315. 고려사대부속중고 정문,72
2019-02-01,1316. 고려사대부속중고 건너편,109
2019-02-01,1317. 정릉동 교통광장,26
2019-02-01,1318. 길음역 3번출구 뒤,243
2019-02-01,1319. 종암사거리 분수대,351
2019-02-01,1320. LG베스트샵 종암점,343
2019-02-01,1321. 국민은행 종암동지점 앞,489
2019-02-01,1322. 래미안라센트아파트 103동 앞,267
2019-02-01,1323. 월곡역 입구 육교 밑,203
2019-02-01,1325. 상월곡역 4번출구,179
2019-02-01,1326. 상월곡역 1번출구,203
2019-02-01,1327. 상월곡역 3번출구,204
2019-02-01,1328. 월곡역 3번출구,517
2019-02-01,1332. 석계역 5번출구 건너편,346
2019-02-01,1333. 석관초등학교 앞,272
2019-02-01,1334. 석관동주민센터 앞,204
2019-02-01,1336. 성북3교 위,384
2019-02-01,1337. 돈암성당 옆,679
2019-02-01,1338. 용문2교 옆,275
2019-02-01,1339. 삼성전자서비스 성북센터,244
2019-02-01,1340. 광운초등학교 앞,72
2019-02-01,1342. 성북쉼터 앞,136
2019-02-01,1343. 한성대7번출구 앞,231
2019-02-01,1344. 아리랑시네센터 앞,256
2019-02-01,1346. 길음8골어린이공원 옆,277
2019-02-01,1347. 길음래미안아파트817동 상가 앞,117
2019-02-01,1348. 성북제일새마을금고 본점 앞,127
2019-02-01,1349. 월계2교 버스정류장 앞,64
2019-02-01,1351. 안암2교 옆,417
2019-02-01,1352. e 편한세상 보문아파트 내,132
2019-02-01,1353. 금호어울림센터힐 내,76
2019-02-01,1354. 고려대학교 2번출구,417
2019-02-01,1355. 보문2교,387
2019-02-01,1357. 북한산보국문역,118
2019-02-01,1358. 정릉도서관 앞,132
2019-02-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,124
2019-02-01,1360. 정릉역,91
2019-02-01,1361. 홍익중고 입구,296
2019-02-01,1362. 보문역6번출구 앞,287
2019-02-01,1363. 보문4교 인근,386
2019-02-01,1364. 성북동 치안센터 앞,171
2019-02-01,1365. 선잠단지 앞,48
2019-02-01,1366. 일신초등학교 옆,54
2019-02-01,1367. 길음문화복합미디어센터,67
2019-02-01,1368. 성신여대입구 교차로,202
2019-02-01,1369. 미아사거리,214
2019-02-01,1370. 복자사랑 피정의 집,97
2019-02-01,1372. KEB은행 고대점,517
2019-02-01,1373. 성북구보건소 건너편,171
2019-02-01,1375. 생명의 전화 종합복지관 앞 교차로,205
2019-03-01,1302. 한성대입구역6번출구 뒤,351
2019-03-01,1303. 돈암초교 입구,620
2019-03-01,1304. 만해공원,202
2019-03-01,1305. 성북구청,479
2019-03-01,1306. 한성대입구역2번출구,913
2019-03-01,1308. 안암로터리 버스정류장 앞,3034
2019-03-01,1313. 정릉교회 앞,204
2019-03-01,1314. 정릉꿈에그린1단지 201동 앞,188
2019-03-01,1315. 고려사대부속중고 정문,262
2019-03-01,1316. 고려사대부속중고 건너편,305
2019-03-01,1317. 정릉동 교통광장,53
2019-03-01,1318. 길음역 3번출구 뒤,630
2019-03-01,1319. 종암사거리 분수대,742
2019-03-01,1320. LG베스트샵 종암점,880
2019-03-01,1321. 국민은행 종암동지점 앞,1187
2019-03-01,1322. 래미안라센트아파트 103동 앞,448
2019-03-01,1323. 월곡역 입구 육교 밑,378
2019-03-01,1325. 상월곡역 4번출구,316
2019-03-01,1326. 상월곡역 1번출구,380
2019-03-01,1327. 상월곡역 3번출구,337
2019-03-01,1328. 월곡역 3번출구,1027
2019-03-01,1332. 석계역 5번출구 건너편,705
2019-03-01,1333. 석관초등학교 앞,525
2019-03-01,1334. 석관동주민센터 앞,384
2019-03-01,1336. 성북3교 위,750
2019-03-01,1337. 돈암성당 옆,1365
2019-03-01,1338. 용문2교 옆,683
2019-03-01,1339. 삼성전자서비스 성북센터,454
2019-03-01,1340. 광운초등학교 앞,179
2019-03-01,1342. 성북쉼터 앞,160
2019-03-01,1343. 한성대7번출구 앞,475
2019-03-01,1344. 아리랑시네센터 앞,382
2019-03-01,1346. 길음8골어린이공원 옆,529
2019-03-01,1347. 길음래미안아파트817동 상가 앞,275
2019-03-01,1348. 성북제일새마을금고 본점 앞,275
2019-03-01,1349. 월계2교 버스정류장 앞,131
2019-03-01,1351. 안암2교 옆,815
2019-03-01,1352. e 편한세상 보문아파트 내,262
2019-03-01,1353. 금호어울림센터힐 내,163
2019-03-01,1354. 고려대학교 2번출구,1284
2019-03-01,1355. 보문2교,902
2019-03-01,1357. 북한산보국문역,247
2019-03-01,1358. 정릉도서관 앞,284
2019-03-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,252
2019-03-01,1360. 정릉역,183
2019-03-01,1361. 홍익중고 입구,579
2019-03-01,1362. 보문역6번출구 앞,572
2019-03-01,1363. 보문4교 인근,788
2019-03-01,1364. 성북동 치안센터 앞,372
2019-03-01,1365. 선잠단지 앞,157
2019-03-01,1366. 일신초등학교 옆,151
2019-03-01,1367. 길음문화복합미디어센터,198
2019-03-01,1368. 성신여대입구 교차로,538
2019-03-01,1369. 미아사거리,451
2019-03-01,1370. 복자사랑 피정의 집,198
2019-03-01,1372. KEB은행 고대점,1292
2019-03-01,1373. 성북구보건소 건너편,381
2019-03-01,1375. 생명의 전화 종합복지관 앞 교차로,418
2019-04-01,1302. 한성대입구역6번출구 뒤,548
2019-04-01,1303. 돈암초교 입구,932
2019-04-01,1304. 만해공원,282
2019-04-01,1305. 성북구청,774
2019-04-01,1306. 한성대입구역2번출구,1381
2019-04-01,1308. 안암로터리 버스정류장 앞,3926
2019-04-01,1313. 정릉교회 앞,320
2019-04-01,1314. 정릉꿈에그린1단지 201동 앞,268
2019-04-01,1315. 고려사대부속중고 정문,458
2019-04-01,1316. 고려사대부속중고 건너편,353
2019-04-01,1317. 정릉동 교통광장,5
2019-04-01,1318. 길음역 3번출구 뒤,1032
2019-04-01,1319. 종암사거리 분수대,1232
2019-04-01,1320. LG베스트샵 종암점,1258
2019-04-01,1321. 국민은행 종암동지점 앞,1740
2019-04-01,1322. 래미안라센트아파트 103동 앞,622
2019-04-01,1323. 월곡역 입구 육교 밑,542
2019-04-01,1325. 상월곡역 4번출구,380
2019-04-01,1326. 상월곡역 1번출구,567
2019-04-01,1327. 상월곡역 3번출구,487
2019-04-01,1328. 월곡역 3번출구,1544
2019-04-01,1332. 석계역 5번출구 건너편,1250
2019-04-01,1333. 석관초등학교 앞,820
2019-04-01,1334. 석관동주민센터 앞,480
2019-04-01,1336. 성북3교 위,1224
2019-04-01,1337. 돈암성당 옆,2150
2019-04-01,1338. 용문2교 옆,854
2019-04-01,1339. 삼성전자서비스 성북센터,693
2019-04-01,1340. 광운초등학교 앞,357
2019-04-01,1342. 성북쉼터 앞,218
2019-04-01,1343. 한성대7번출구 앞,619
2019-04-01,1344. 아리랑시네센터 앞,586
2019-04-01,1346. 길음8골어린이공원 옆,869
2019-04-01,1347. 길음래미안아파트817동 상가 앞,385
2019-04-01,1348. 성북제일새마을금고 본점 앞,446
2019-04-01,1349. 월계2교 버스정류장 앞,347
2019-04-01,1351. 안암2교 옆,1174
2019-04-01,1352. e 편한세상 보문아파트 내,321
2019-04-01,1353. 금호어울림센터힐 내,203
2019-04-01,1354. 고려대학교 2번출구,1775
2019-04-01,1355. 보문2교,1614
2019-04-01,1357. 북한산보국문역,483
2019-04-01,1358. 정릉도서관 앞,359
2019-04-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,492
2019-04-01,1360. 정릉역,286
2019-04-01,1361. 홍익중고 입구,759
2019-04-01,1362. 보문역6번출구 앞,861
2019-04-01,1363. 보문4교 인근,1086
2019-04-01,1364. 성북동 치안센터 앞,442
2019-04-01,1365. 선잠단지 앞,192
2019-04-01,1366. 일신초등학교 옆,246
2019-04-01,1367. 길음문화복합미디어센터,327
2019-04-01,1368. 성신여대입구 교차로,835
2019-04-01,1369. 미아사거리,703
2019-04-01,1370. 복자사랑 피정의 집,248
2019-04-01,1372. KEB은행 고대점,1883
2019-04-01,1373. 성북구보건소 건너편,454
2019-04-01,1375. 생명의 전화 종합복지관 앞 교차로,639
2019-05-01,1302. 한성대입구역6번출구 뒤,860
2019-05-01,1303. 돈암초교 입구,1302
2019-05-01,1304. 만해공원,324
2019-05-01,1305. 성북구청,1268
2019-05-01,1306. 한성대입구역2번출구,2011
2019-05-01,1308. 안암로터리 버스정류장 앞,5820
2019-05-01,1313. 정릉교회 앞,493
2019-05-01,1314. 정릉꿈에그린1단지 201동 앞,434
2019-05-01,1315. 고려사대부속중고 정문,697
2019-05-01,1316. 고려사대부속중고 건너편,591
2019-05-01,1318. 길음역 3번출구 뒤,1441
2019-05-01,1319. 종암사거리 분수대,1999
2019-05-01,1320. LG베스트샵 종암점,1811
2019-05-01,1321. 국민은행 종암동지점 앞,2419
2019-05-01,1322. 래미안라센트아파트 103동 앞,1003
2019-05-01,1323. 월곡역 입구 육교 밑,778
2019-05-01,1325. 상월곡역 4번출구,510
2019-05-01,1326. 상월곡역 1번출구,863
2019-05-01,1327. 상월곡역 3번출구,856
2019-05-01,1328. 월곡역 3번출구,2364
2019-05-01,1332. 석계역 5번출구 건너편,1954
2019-05-01,1333. 석관초등학교 앞,1325
2019-05-01,1334. 석관동주민센터 앞,826
2019-05-01,1336. 성북3교 위,2004
2019-05-01,1337. 돈암성당 옆,3533
2019-05-01,1338. 용문2교 옆,1203
2019-05-01,1339. 삼성전자서비스 성북센터,1093
2019-05-01,1340. 광운초등학교 앞,554
2019-05-01,1342. 성북쉼터 앞,264
2019-05-01,1343. 한성대7번출구 앞,783
2019-05-01,1344. 아리랑시네센터 앞,659
2019-05-01,1346. 길음8골어린이공원 옆,1101
2019-05-01,1347. 길음래미안아파트817동 상가 앞,552
2019-05-01,1348. 성북제일새마을금고 본점 앞,651
2019-05-01,1349. 월계2교 버스정류장 앞,539
2019-05-01,1351. 안암2교 옆,1815
2019-05-01,1352. e 편한세상 보문아파트 내,456
2019-05-01,1353. 금호어울림센터힐 내,274
2019-05-01,1354. 고려대학교 2번출구,2606
2019-05-01,1355. 보문2교,2681
2019-05-01,1357. 북한산보국문역,694
2019-05-01,1358. 정릉도서관 앞,569
2019-05-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,818
2019-05-01,1360. 정릉역,436
2019-05-01,1361. 홍익중고 입구,1189
2019-05-01,1362. 보문역6번출구 앞,1382
2019-05-01,1363. 보문4교 인근,1646
2019-05-01,1364. 성북동 치안센터 앞,646
2019-05-01,1365. 선잠단지 앞,342
2019-05-01,1366. 일신초등학교 옆,305
2019-05-01,1367. 길음문화복합미디어센터,517
2019-05-01,1368. 성신여대입구 교차로,1433
2019-05-01,1369. 미아사거리,1187
2019-05-01,1370. 복자사랑 피정의 집,368
2019-05-01,1372. KEB은행 고대점,2815
2019-05-01,1373. 성북구보건소 건너편,721
2019-05-01,1375. 생명의 전화 종합복지관 앞 교차로,1160
2019-05-01,1376. 한국과학기술연구원 중문,61
2019-05-01,1377. 한국과학기술연구원 북문,69
2019-06-01,1302. 한성대입구역6번출구 뒤,830
2019-06-01,1303. 돈암초교 입구,1361
2019-06-01,1304. 만해공원,326
2019-06-01,1305. 성북구청,1264
2019-06-01,1306. 한성대입구역2번출구,2032
2019-06-01,1308. 안암로터리 버스정류장 앞,6445
2019-06-01,1313. 정릉교회 앞,593
2019-06-01,1314. 정릉꿈에그린1단지 201동 앞,487
2019-06-01,1315. 고려사대부속중고 정문,591
2019-06-01,1316. 고려사대부속중고 건너편,584
2019-06-01,1318. 길음역 3번출구 뒤,1522
2019-06-01,1319. 종암사거리 분수대,2293
2019-06-01,1320. LG베스트샵 종암점,2220
2019-06-01,1321. 국민은행 종암동지점 앞,2721
2019-06-01,1322. 래미안라센트아파트 103동 앞,1119
2019-06-01,1323. 월곡역 입구 육교 밑,902
2019-06-01,1325. 상월곡역 4번출구,675
2019-06-01,1326. 상월곡역 1번출구,783
2019-06-01,1327. 상월곡역 3번출구,1097
2019-06-01,1328. 월곡역 3번출구,2569
2019-06-01,1332. 석계역 5번출구 건너편,1980
2019-06-01,1333. 석관초등학교 앞,1676
2019-06-01,1334. 석관동주민센터 앞,819
2019-06-01,1336. 성북3교 위,2058
2019-06-01,1337. 돈암성당 옆,3873
2019-06-01,1338. 용문2교 옆,1323
2019-06-01,1339. 삼성전자서비스 성북센터,1280
2019-06-01,1340. 광운초등학교 앞,550
2019-06-01,1342. 성북쉼터 앞,231
2019-06-01,1343. 한성대7번출구 앞,756
2019-06-01,1344. 아리랑시네센터 앞,696
2019-06-01,1346. 길음8골어린이공원 옆,1104
2019-06-01,1347. 길음래미안아파트817동 상가 앞,531
2019-06-01,1348. 성북제일새마을금고 본점 앞,614
2019-06-01,1349. 월계2교 버스정류장 앞,522
2019-06-01,1351. 안암2교 옆,1980
2019-06-01,1352. e 편한세상 보문아파트 내,427
2019-06-01,1353. 금호어울림센터힐 내,360
2019-06-01,1354. 고려대학교 2번출구,2649
2019-06-01,1355. 보문2교,2694
2019-06-01,1357. 북한산보국문역,676
2019-06-01,1358. 정릉도서관 앞,686
2019-06-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,831
2019-06-01,1360. 정릉역,443
2019-06-01,1361. 홍익중고 입구,1337
2019-06-01,1362. 보문역6번출구 앞,1666
2019-06-01,1363. 보문4교 인근,2151
2019-06-01,1364. 성북동 치안센터 앞,641
2019-06-01,1365. 선잠단지 앞,324
2019-06-01,1366. 일신초등학교 옆,378
2019-06-01,1367. 길음문화복합미디어센터,536
2019-06-01,1368. 성신여대입구 교차로,1397
2019-06-01,1369. 미아사거리,1393
2019-06-01,1370. 복자사랑 피정의 집,417
2019-06-01,1372. KEB은행 고대점,2728
2019-06-01,1373. 성북구보건소 건너편,810
2019-06-01,1375. 생명의 전화 종합복지관 앞 교차로,1438
2019-06-01,1376. 한국과학기술연구원 중문,278
2019-06-01,1377. 한국과학기술연구원 북문,287
2019-07-01,1302. 한성대입구역6번출구 뒤,829
2019-07-01,1303. 돈암초교 입구,1404
2019-07-01,1304. 만해공원,368
2019-07-01,1305. 성북구청,1181
2019-07-01,1306. 한성대입구역2번출구,1898
2019-07-01,1308. 안암로터리 버스정류장 앞,6119
2019-07-01,1313. 정릉교회 앞,474
2019-07-01,1314. 정릉꿈에그린1단지 201동 앞,415
2019-07-01,1315. 고려사대부속중고 정문,650
2019-07-01,1316. 고려사대부속중고 건너편,481
2019-07-01,1318. 길음역 3번출구 뒤,1510
2019-07-01,1319. 종암사거리 분수대,2161
2019-07-01,1320. LG베스트샵 종암점,1966
2019-07-01,1321. 국민은행 종암동지점 앞,2603
2019-07-01,1322. 래미안라센트아파트 103동 앞,1045
2019-07-01,1323. 월곡역 입구 육교 밑,849
2019-07-01,1325. 상월곡역 4번출구,676
2019-07-01,1326. 상월곡역 1번출구,873
2019-07-01,1327. 상월곡역 3번출구,1076
2019-07-01,1328. 월곡역 3번출구,2388
2019-07-01,1332. 석계역 5번출구 건너편,1896
2019-07-01,1333. 석관초등학교 앞,1536
2019-07-01,1334. 석관동주민센터 앞,756
2019-07-01,1336. 성북3교 위,1888
2019-07-01,1337. 돈암성당 옆,3329
2019-07-01,1338. 용문2교 옆,1088
2019-07-01,1339. 삼성전자서비스 성북센터,1180
2019-07-01,1340. 광운초등학교 앞,553
2019-07-01,1342. 성북쉼터 앞,253
2019-07-01,1343. 한성대7번출구 앞,811
2019-07-01,1344. 아리랑시네센터 앞,701
2019-07-01,1346. 길음8골어린이공원 옆,1021
2019-07-01,1347. 길음래미안아파트817동 상가 앞,554
2019-07-01,1348. 성북제일새마을금고 본점 앞,558
2019-07-01,1349. 월계2교 버스정류장 앞,439
2019-07-01,1351. 안암2교 옆,1890
2019-07-01,1352. e 편한세상 보문아파트 내,454
2019-07-01,1353. 금호어울림센터힐 내,309
2019-07-01,1354. 고려대학교 2번출구,2218
2019-07-01,1355. 보문2교,2157
2019-07-01,1357. 북한산보국문역,724
2019-07-01,1358. 정릉도서관 앞,522
2019-07-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,816
2019-07-01,1360. 정릉역,457
2019-07-01,1361. 홍익중고 입구,1291
2019-07-01,1362. 보문역6번출구 앞,1452
2019-07-01,1363. 보문4교 인근,2135
2019-07-01,1364. 성북동 치안센터 앞,650
2019-07-01,1365. 선잠단지 앞,318
2019-07-01,1366. 일신초등학교 옆,334
2019-07-01,1367. 길음문화복합미디어센터,518
2019-07-01,1368. 성신여대입구 교차로,1211
2019-07-01,1369. 미아사거리,1133
2019-07-01,1370. 복자사랑 피정의 집,515
2019-07-01,1372. KEB은행 고대점,2617
2019-07-01,1373. 성북구보건소 건너편,731
2019-07-01,1375. 생명의 전화 종합복지관 앞 교차로,1346
2019-07-01,1376. 한국과학기술연구원 중문,340
2019-07-01,1377. 한국과학기술연구원 북문,390
2019-08-01,1302. 한성대입구역6번출구 뒤,811
2019-08-01,1303. 돈암초교 입구,1334
2019-08-01,1304. 만해공원,425
2019-08-01,1305. 성북구청,968
2019-08-01,1306. 한성대입구역2번출구,1800
2019-08-01,1308. 안암로터리 버스정류장 앞,5810
2019-08-01,1313. 정릉교회 앞,530
2019-08-01,1314. 정릉꿈에그린1단지 201동 앞,378
2019-08-01,1315. 고려사대부속중고 정문,545
2019-08-01,1316. 고려사대부속중고 건너편,494
2019-08-01,1318. 길음역 3번출구 뒤,1288
2019-08-01,1319. 종암사거리 분수대,2013
2019-08-01,1320. LG베스트샵 종암점,1884
2019-08-01,1321. 국민은행 종암동지점 앞,2563
2019-08-01,1322. 래미안라센트아파트 103동 앞,1047
2019-08-01,1323. 월곡역 입구 육교 밑,801
2019-08-01,1325. 상월곡역 4번출구,584
2019-08-01,1326. 상월곡역 1번출구,842
2019-08-01,1327. 상월곡역 3번출구,962
2019-08-01,1328. 월곡역 3번출구,2254
2019-08-01,1332. 석계역 5번출구 건너편,1860
2019-08-01,1333. 석관초등학교 앞,1480
2019-08-01,1334. 석관동주민센터 앞,843
2019-08-01,1336. 성북3교 위,1768
2019-08-01,1337. 돈암성당 옆,3015
2019-08-01,1338. 용문2교 옆,1137
2019-08-01,1339. 삼성전자서비스 성북센터,1207
2019-08-01,1342. 성북쉼터 앞,263
2019-08-01,1343. 한성대7번출구 앞,829
2019-08-01,1344. 아리랑시네센터 앞,660
2019-08-01,1346. 길음8골어린이공원 옆,906
2019-08-01,1347. 길음래미안아파트817동 상가 앞,427
2019-08-01,1348. 성북제일새마을금고 본점 앞,472
2019-08-01,1349. 월계2교 버스정류장 앞,539
2019-08-01,1351. 안암2교 옆,1854
2019-08-01,1352. e 편한세상 보문아파트 내,399
2019-08-01,1353. 금호어울림센터힐 내,320
2019-08-01,1354. 고려대학교 2번출구,2131
2019-08-01,1355. 보문2교,2099
2019-08-01,1357. 북한산보국문역,614
2019-08-01,1358. 정릉도서관 앞,566
2019-08-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,849
2019-08-01,1360. 정릉역,370
2019-08-01,1361. 홍익중고 입구,1254
2019-08-01,1362. 보문역6번출구 앞,1383
2019-08-01,1363. 보문4교 인근,1930
2019-08-01,1364. 성북동 치안센터 앞,672
2019-08-01,1365. 선잠단지 앞,268
2019-08-01,1366. 일신초등학교 옆,357
2019-08-01,1367. 길음문화복합미디어센터,423
2019-08-01,1368. 성신여대입구 교차로,1137
2019-08-01,1369. 미아사거리,1053
2019-08-01,1370. 복자사랑 피정의 집,518
2019-08-01,1372. KEB은행 고대점,2361
2019-08-01,1373. 성북구보건소 건너편,755
2019-08-01,1375. 생명의 전화 종합복지관 앞 교차로,1302
2019-08-01,1376. 한국과학기술연구원 중문,292
2019-08-01,1377. 한국과학기술연구원 북문,367
2019-09-01,1302. 한성대입구역6번출구 뒤,749
2019-09-01,1303. 돈암초교 입구,1300
2019-09-01,1304. 만해공원,324
2019-09-01,1305. 성북구청,1010
2019-09-01,1306. 한성대입구역2번출구,1891
2019-09-01,1308. 안암로터리 버스정류장 앞,6057
2019-09-01,1313. 정릉교회 앞,508
2019-09-01,1314. 정릉꿈에그린1단지 201동 앞,371
2019-09-01,1315. 고려사대부속중고 정문,447
2019-09-01,1316. 고려사대부속중고 건너편,498
2019-09-01,1318. 길음역 3번출구 뒤,1222
2019-09-01,1319. 종암사거리 분수대,2155
2019-09-01,1320. LG베스트샵 종암점,2111
2019-09-01,1321. 국민은행 종암동지점 앞,2902
2019-09-01,1322. 래미안라센트아파트 103동 앞,1049
2019-09-01,1323. 월곡역 입구 육교 밑,807
2019-09-01,1325. 상월곡역 4번출구,567
2019-09-01,1326. 상월곡역 1번출구,889
2019-09-01,1327. 상월곡역 3번출구,1064
